
---------- Begin Simulation Statistics ----------
simSeconds                                   7.477716                       # Number of seconds simulated (Second)
system.cpu0.commit.numCommittedDist::stdev     2.651204                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0     4726969452     63.98%     63.98% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1      512400763      6.94%     70.91% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2      402388232      5.45%     76.36% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3      389712776      5.27%     81.64% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4      233570579      3.16%     84.80% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5      176260338      2.39%     87.18% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6      113344497      1.53%     88.72% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7       76165012      1.03%     89.75% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8      757516885     10.25%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total   7388328534                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted         11575227979                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted           11575256707                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                 3216572082                       # Number of memory references committed (Count)
system.cpu0.commit.loads                   1727076612                       # Number of loads committed (Count)
system.cpu0.commit.amos                         50160                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                      44948                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                2282191999                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                 983383141                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                11123860672                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls             30232428                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass      3004276      0.03%      0.03% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu   7296249982     63.03%     63.06% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult    612204151      5.29%     68.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv      4446570      0.04%     68.39% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd     47644980      0.41%     68.80% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp    151780607      1.31%     70.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt     58560143      0.51%     70.62% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult     59100749      0.51%     71.13% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc     95452294      0.82%     71.95% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv     12148180      0.10%     72.06% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc     14999791      0.13%     72.18% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt      3092902      0.03%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     72.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd            0      0.00%     72.21% # Class of committed instruction (Count)
